Date,Name,Market,Ticker,MarketCap,Price,Currency
2025-02-20,百度,HK,9888.HK,2245.97,80.06,CNY
2025-02-21,百度,HK,9888.HK,2342.73,83.51,CNY
2025-02-24,百度,HK,9888.HK,2342.79,83.52,CNY
2025-02-25,百度,HK,9888.HK,2249.16,80.18,CNY
2025-02-26,百度,HK,9888.HK,2323.9,82.84,CNY
2025-02-27,百度,HK,9888.HK,2298.48,81.94,CNY
2025-02-28,百度,HK,9888.HK,2194.32,78.22,CNY
2025-03-03,百度,HK,9888.HK,2188.05,78.0,CNY
2025-03-04,百度,HK,9888.HK,2226.76,79.38,CNY
2025-03-05,百度,HK,9888.HK,2294.35,81.79,CNY
2025-03-06,百度,HK,9888.HK,2385.91,85.05,CNY
2025-03-07,百度,HK,9888.HK,2376.14,84.7,CNY
2025-03-10,百度,HK,9888.HK,2402.4,85.64,CNY
2025-03-11,百度,HK,9888.HK,2417.91,86.19,CNY
2025-03-12,百度,HK,9888.HK,2359.85,84.12,CNY
2025-03-13,百度,HK,9888.HK,2337.38,83.32,CNY
2025-03-14,百度,HK,9888.HK,2394.16,85.35,CNY
2025-03-17,百度,HK,9888.HK,2404.26,85.71,CNY
